,location,date,total_cases,total_deaths,population,continent
0,Afghanistan,2021-07-30,146523.0,6677.0,38928341.0,Asia
1,Africa,2021-07-30,6673032.0,169216.0,1340598113.0,
2,Albania,2021-07-30,133036.0,2457.0,2877800.0,Europe
3,Algeria,2021-07-30,170189.0,4219.0,43851043.0,Africa
4,Andorra,2021-07-30,14678.0,128.0,77265.0,Europe
5,Angola,2021-07-30,42646.0,1008.0,32866268.0,Africa
6,Anguilla,2021-07-23,,,15002.0,North America
7,Antigua and Barbuda,2021-07-30,1303.0,43.0,97928.0,North America
8,Argentina,2021-07-30,4919408.0,105586.0,45195777.0,South America
9,Armenia,2021-07-30,229867.0,4608.0,2963234.0,Asia
10,Aruba,2021-07-30,,,106766.0,North America
11,Asia,2021-07-30,61769257.0,891790.0,4639847425.0,
12,Australia,2021-07-30,34130.0,924.0,25499881.0,Oceania
13,Austria,2021-07-30,658518.0,10737.0,9006400.0,Europe
14,Azerbaijan,2021-07-30,343216.0,5022.0,10139175.0,Asia
15,Bahamas,2021-07-30,14677.0,286.0,393248.0,North America
16,Bahrain,2021-07-30,269080.0,1384.0,1701583.0,Asia
17,Bangladesh,2021-07-30,1240115.0,20467.0,164689383.0,Asia
18,Barbados,2021-07-30,4379.0,48.0,287371.0,North America
19,Belarus,2021-07-30,445048.0,3445.0,9449321.0,Europe
20,Belgium,2021-07-30,1124715.0,25241.0,11589616.0,Europe
21,Belize,2021-07-30,14163.0,337.0,397621.0,North America
22,Benin,2021-07-30,8394.0,108.0,12123198.0,Africa
23,Bermuda,2021-07-30,,,62273.0,North America
24,Bhutan,2021-07-30,2508.0,2.0,771612.0,Asia
25,Bolivia,2021-07-30,471958.0,17784.0,11673029.0,South America
26,Bonaire Sint Eustatius and Saba,2021-04-09,,,26221.0,North America
27,Bosnia and Herzegovina,2021-07-30,205655.0,9687.0,3280815.0,Europe
28,Botswana,2021-07-30,106690.0,1569.0,2351625.0,Africa
29,Brazil,2021-07-30,19880273.0,555460.0,212559409.0,South America
30,British Virgin Islands,2021-07-23,,,30237.0,North America
31,Brunei,2021-07-30,336.0,3.0,437483.0,Asia
32,Bulgaria,2021-07-30,424872.0,18211.0,6948445.0,Europe
33,Burkina Faso,2021-07-30,13573.0,169.0,20903278.0,Africa
34,Burundi,2021-07-30,7080.0,9.0,11890781.0,Africa
35,Cambodia,2021-07-30,76585.0,1375.0,16718971.0,Asia
36,Cameroon,2021-07-30,82064.0,1334.0,26545864.0,Africa
37,Canada,2021-07-30,1438021.0,26553.0,37742157.0,North America
38,Cape Verde,2021-07-30,33763.0,298.0,555988.0,Africa
