,date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
0,2021-08-05,USA-72999,72999,Puerto Rico,36,21.14,,0,0.0,
1,2021-08-05,USA-72153,72153,Puerto Rico,12,4.14,12.24,0,0.0,0.0
2,2021-08-05,USA-72151,72151,Puerto Rico,2,1.71,5.33,0,0.0,0.0
3,2021-08-05,USA-72149,72149,Puerto Rico,0,0.43,2.0,0,0.0,0.0
4,2021-08-05,USA-72147,72147,Puerto Rico,1,0.14,1.71,0,0.0,0.0
5,2021-08-05,USA-72145,72145,Puerto Rico,21,10.14,20.21,0,0.0,0.0
6,2021-08-05,USA-72143,72143,Puerto Rico,10,8.14,22.74,0,0.0,0.0
7,2021-08-05,USA-72141,72141,Puerto Rico,4,2.0,7.26,0,0.0,0.0
8,2021-08-05,USA-72139,72139,Puerto Rico,19,11.71,18.38,0,0.0,0.0
9,2021-08-05,USA-72137,72137,Puerto Rico,28,14.14,18.95,0,0.0,0.0
10,2021-08-05,USA-72135,72135,Puerto Rico,25,11.43,16.08,0,0.0,0.0
11,2021-08-05,USA-72133,72133,Puerto Rico,4,1.57,7.47,0,0.0,0.0
12,2021-08-05,USA-72131,72131,Puerto Rico,25,11.43,32.06,0,0.0,0.0
13,2021-08-05,USA-72129,72129,Puerto Rico,9,2.86,7.96,0,0.0,0.0
14,2021-08-05,USA-72127,72127,Puerto Rico,145,74.71,23.28,0,0.0,0.0
15,2021-08-05,USA-72125,72125,Puerto Rico,6,6.14,20.32,0,0.0,0.0
16,2021-08-05,USA-72123,72123,Puerto Rico,4,1.29,4.75,0,0.0,0.0
17,2021-08-05,USA-72121,72121,Puerto Rico,8,4.71,21.68,0,0.0,0.0
18,2021-08-05,USA-72119,72119,Puerto Rico,12,6.57,13.72,0,0.0,0.0
19,2021-08-05,USA-72117,72117,Puerto Rico,9,4.57,33.55,0,0.0,0.0
20,2021-08-05,USA-72115,72115,Puerto Rico,11,5.57,24.41,0,0.0,0.0
21,2021-08-05,USA-72113,72113,Puerto Rico,22,12.29,9.22,0,0.0,0.0
22,2021-08-05,USA-72111,72111,Puerto Rico,1,0.57,2.95,0,0.0,0.0
23,2021-08-05,USA-72109,72109,Puerto Rico,1,0.86,5.26,0,0.0,0.0
24,2021-08-05,USA-72107,72107,Puerto Rico,3,1.29,6.36,0,0.0,0.0
25,2021-08-05,USA-72105,72105,Puerto Rico,5,2.57,9.45,0,0.0,0.0
26,2021-08-05,USA-72103,72103,Puerto Rico,3,2.29,9.01,0,0.0,0.0
