,location,date,total_vaccinations,continent
0,Afghanistan,2021-07-30,1381416.0,Asia
1,Africa,2021-07-30,68526705.0,
2,Albania,2021-07-30,1138771.0,Europe
3,Algeria,2021-07-30,3421279.0,Africa
4,Andorra,2021-07-30,82349.0,Europe
5,Angola,2021-07-30,1592537.0,Africa
6,Anguilla,2021-07-23,18001.0,North America
7,Antigua and Barbuda,2021-07-30,68715.0,North America
8,Argentina,2021-07-30,31471074.0,South America
9,Armenia,2021-07-30,152529.0,Asia
10,Aruba,2021-07-30,137598.0,North America
11,Asia,2021-07-30,2617298521.0,
12,Australia,2021-07-30,12005978.0,Oceania
13,Austria,2021-07-30,9657308.0,Europe
14,Azerbaijan,2021-07-30,4885572.0,Asia
15,Bahamas,2021-07-30,104521.0,North America
16,Bahrain,2021-07-30,2297602.0,Asia
17,Bangladesh,2021-07-30,11734447.0,Asia
18,Barbados,2021-07-30,174129.0,North America
19,Belarus,2021-07-30,2194993.0,Europe
20,Belgium,2021-07-30,14302977.0,Europe
21,Belize,2021-07-30,175735.0,North America
22,Benin,2021-07-30,57886.0,Africa
23,Bermuda,2021-07-30,82870.0,North America
24,Bhutan,2021-07-30,488872.0,Asia
25,Bolivia,2021-07-30,4426954.0,South America
26,Bonaire Sint Eustatius and Saba,2021-04-09,7391.0,North America
27,Bosnia and Herzegovina,2021-07-30,611641.0,Europe
28,Botswana,2021-07-30,331408.0,Africa
29,Brazil,2021-07-30,140169214.0,South America
30,British Virgin Islands,2021-07-23,26501.0,North America
31,Brunei,2021-07-30,150102.0,Asia
32,Bulgaria,2021-07-30,2024943.0,Europe
33,Burkina Faso,2021-07-30,37120.0,Africa
34,Burundi,2021-07-30,,Africa
35,Cambodia,2021-07-30,11802138.0,Asia
36,Cameroon,2021-07-30,331875.0,Africa
37,Canada,2021-07-30,49060682.0,North America
38,Cape Verde,2021-07-30,159446.0,Africa
39,Cayman Islands,2021-07-30,97707.0,North America
40,Central African Republic,2021-07-30,93790.0,Africa
41,Chad,2021-07-30,29980.0,Africa
42,Chile,2021-07-30,25479218.0,South America
43,China,2021-07-30,1637395000.0,Asia
44,Colombia,2021-07-30,26515327.0,South America
45,Comoros,2021-07-30,125960.0,Africa
46,Congo,2021-07-30,198698.0,Africa
47,Cook Islands,2021-07-20,20509.0,Oceania
48,Costa Rica,2021-07-30,3193895.0,North America
49,Cote d'Ivoire,2021-07-30,959349.0,Africa
50,Croatia,2021-07-30,3068657.0,Europe
51,Cuba,2021-07-30,9169319.0,North America
52,Curacao,2021-07-30,174524.0,North America
53,Cyprus,2021-07-30,980404.0,Europe
54,Czechia,2021-07-30,10313939.0,Europe
55,Democratic Republic of Congo,2021-07-30,81384.0,Africa
56,Denmark,2021-07-30,7277777.0,Europe
57,Djibouti,2021-07-30,26796.0,Africa
58,Dominica,2021-07-30,40450.0,North America
59,Dominican Republic,2021-07-30,10060830.0,North America
60,Ecuador,2021-07-30,10929785.0,South America
61,Egypt,2021-07-30,5337506.0,Africa
62,El Salvador,2021-07-30,4309189.0,North America
