,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
1,08/02/2021,46127,31,Union County,SD,39.8,6335,6335,47.3,6108,50.7,1983,66.9,83.4,6806.0,42.7,6804.0,50.8,6468.0,53.7,2013.0,68.0,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,Mod-High VC/Low SVI
2,08/02/2021,06077,31,San Joaquin County,CA,39.4,300660,300161,47.8,283997,50.9,75271,75.4,97.3,424603.0,55.7,423441.0,67.4,395856.0,71.0,99864.0,99.9,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI
3,08/02/2021,53017,31,Douglas County,WA,46.6,20259,20259,56.2,19338,60.0,5670,71.9,96.2,22496.0,51.8,22494.0,62.4,21362.0,66.2,6034.0,76.5,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
4,08/02/2021,02164,31,Lake and Peninsula Borough,AK,48.6,774,771,60.3,706,62.1,124,67.8,96.9,879.0,55.2,876.0,68.5,798.0,70.2,136.0,74.3,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,Mod-High VC/High SVI
5,08/02/2021,28037,31,Franklin County,MS,31.5,2428,2428,36.6,2402,40.3,997,62.2,98.3,2785.0,36.1,2785.0,42.0,2695.0,45.2,1069.0,66.7,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI
6,08/02/2021,47155,31,Sevier County,TN,35.4,34770,34769,40.8,33981,43.4,13545,67.8,97.8,39698.0,40.4,39686.0,46.5,38505.0,49.2,14642.0,73.3,Mod-High,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI
7,08/02/2021,39143,31,Sandusky County,OH,43.1,25208,25208,50.2,24345,53.4,9516,84.1,97.6,25457.0,43.5,,0.0,,0.0,,0.0,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
8,08/02/2021,51135,31,Nottoway County,VA,14.6,2225,2225,16.7,2155,17.6,929,31.5,51.2,2492.0,16.4,2491.0,18.7,2397.0,19.5,995.0,33.8,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
9,08/02/2021,48369,31,Parmer County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,,,,
10,08/02/2021,54053,31,Mason County,WV,23.6,6262,6261,27.3,6067,28.8,2509,43.7,57.7,7831.0,29.5,7829.0,34.1,7515.0,35.7,2975.0,51.9,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
11,08/02/2021,26103,31,Marquette County,MI,55.2,36825,36825,62.6,35188,64.2,11578,88.5,93.9,38487.0,57.7,38485.0,65.4,37083.0,67.7,12030.0,91.9,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
12,08/02/2021,49033,31,Rich County,UT,35.3,877,877,43.7,857,48.9,322,70.3,97.1,1124.0,45.3,1124.0,55.9,1090.0,62.1,415.0,90.6,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
13,08/02/2021,72089,31,Luquillo Municipio,PR,45.3,8005,8005,50.8,7554,52.1,2322,77.3,96.0,9429.0,53.4,9427.0,59.8,8844.0,61.0,2651.0,88.3,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
14,08/02/2021,23001,31,Androscoggin County,ME,54.1,58581,58579,63.2,55590,65.4,16667,84.8,96.3,63576.0,58.7,63563.0,68.6,60081.0,70.7,17793.0,90.5,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
